Time,Open,High,Low,Close,Volume
2020.02.06 00:00,1554.67,1568.23,1552.46,1566.46,71100
2020.02.07 00:00,1565.81,1574.05,1560.08,1570,97707
2020.02.10 00:00,1569.27,1577.01,1567.96,1571.87,72137
2020.02.11 00:00,1572.09,1574.05,1561.92,1567.63,75255
2020.02.12 00:00,1567.49,1570.46,1561.95,1565.73,65805
2020.02.13 00:00,1566.13,1578.33,1565.51,1575.98,80200
2020.02.14 00:00,1575.91,1585.01,1573.02,1583.69,60275
2020.02.17 00:00,1581.25,1583.78,1578.85,1580.86,30617
2020.02.18 00:00,1583.69,1605.05,1583.23,1601.35,78332
2020.02.19 00:00,1601.17,1612.91,1599.53,1611.34,81876
2020.02.20 00:00,1610.97,1623.73,1603.84,1619.26,105222
2020.02.21 00:00,1619.7,1649.23,1618.92,1643.73,115265
2020.02.24 00:00,1659.37,1689.25,1650.83,1658.5,156168
2020.02.25 00:00,1657.47,1658.77,1624.98,1635.26,176551
2020.02.26 00:00,1638.13,1654.95,1624.73,1640.5,161690
2020.02.27 00:00,1641.12,1660.37,1635.19,1644.23,163430
2020.02.28 00:00,1641.91,1649.46,1562.93,1584.7,186323
2020.03.02 00:00,1581.79,1610.94,1575.31,1589.75,171570
2020.03.03 00:00,1590.45,1649.29,1589.58,1639.48,146391
2020.03.04 00:00,1642.09,1653.13,1631.81,1635.73,124231
2020.03.05 00:00,1636.57,1674.57,1634.97,1671.58,121017
2020.03.06 00:00,1671.61,1692.09,1641.97,1674.06,164891
2020.03.09 00:00,1695.92,1703.44,1657.41,1678.15,151869
2020.03.10 00:00,1667.73,1671.42,1641.49,1649.37,143340
2020.03.11 00:00,1651.93,1671.24,1632.94,1636.63,128334
2020.03.12 00:00,1640.1,1650.07,1560.59,1578.63,158775
2020.03.13 00:00,1576.3,1597.91,1504.62,1529.78,192149
2020.03.16 00:00,1543.04,1562.94,1451.13,1509.09,219115
2020.03.17 00:00,1511.75,1553.85,1465.42,1527.8,208552
2020.03.18 00:00,1537.29,1543.29,1472.61,1484.63,192152
2020.03.19 00:00,1485.3,1500.77,1461.89,1474.34,137143
2020.03.20 00:00,1467.47,1515.93,1465.83,1498.64,104650
2020.03.23 00:00,1490.2,1561.08,1485,1552.39,110268
2020.03.24 00:00,1563.45,1632.3,1557.62,1625.33,74427
2020.03.25 00:00,1630.56,1638.85,1594.95,1616.35,63879
2020.03.26 00:00,1612.4,1644.37,1595.26,1628.93,52710
2020.03.27 00:00,1630.2,1631.06,1613.83,1622.55,58020
2020.03.30 00:00,1619.97,1632.25,1610.39,1620.31,65237
2020.03.31 00:00,1621.75,1622.22,1574.19,1576.78,83749
2020.04.01 00:00,1571.41,1599.96,1569.33,1591.26,72363
2020.04.02 00:00,1590.36,1620.17,1582.65,1611.66,100031
2020.04.03 00:00,1614.39,1626.04,1605.85,1615.7,68469
2020.04.06 00:00,1614.62,1669.88,1608.35,1658.19,94932
2020.04.07 00:00,1664.81,1674.02,1642.16,1647.94,113280
2020.04.08 00:00,1647.27,1656.87,1641.58,1645.4,70588
2020.04.09 00:00,1645.41,1690.43,1643.86,1683.56,100976
2020.04.13 00:00,1677.47,1723.27,1674.98,1711.98,79657
2020.04.14 00:00,1712.25,1747.4,1708.56,1726.54,121755
2020.04.15 00:00,1726.54,1731.11,1707.52,1716.5,101927
2020.04.16 00:00,1716.49,1738.66,1708.01,1718.38,120139
2020.04.17 00:00,1718.48,1718.52,1680.1,1682.14,126136
2020.04.20 00:00,1683.02,1702.7,1671.55,1695.28,149666
2020.04.21 00:00,1695.4,1697.86,1660.03,1683.54,159877
2020.04.22 00:00,1683.79,1718.74,1680.29,1714.87,96972
2020.04.23 00:00,1714.66,1738.78,1707,1730.31,135452
2020.04.24 00:00,1730.56,1736.35,1710.36,1726.41,124540
2020.04.27 00:00,1722.32,1727.59,1705.87,1714.94,122739
2020.04.28 00:00,1714.9,1716.16,1691.54,1707.65,120584
2020.04.29 00:00,1708.02,1717.67,1697.76,1712.89,123365
2020.04.30 00:00,1712.95,1721.72,1681.24,1685.98,131530
2020.05.01 00:00,1686.02,1705.47,1670.4,1699.6,146791
2020.05.04 00:00,1698.03,1713.44,1691.64,1701,90399
2020.05.05 00:00,1701.13,1712.04,1689.63,1704.71,93525
2020.05.06 00:00,1704.51,1708.06,1681.14,1685.19,86078
2020.05.07 00:00,1685.19,1722.01,1684.14,1715.25,93033
2020.05.08 00:00,1715.52,1723.6,1701.09,1702.09,112340
2020.05.11 00:00,1702.38,1711.8,1691.53,1697.64,112436
2020.05.12 00:00,1697.67,1710.95,1693.61,1702.26,101722
2020.05.13 00:00,1702.09,1718.08,1698.93,1715.3,133767
2020.05.14 00:00,1715.31,1736.39,1711,1730.06,124146
2020.05.15 00:00,1730.06,1751.68,1728.61,1741.85,144595
2020.05.18 00:00,1747.36,1765.08,1727.5,1732.2,145651
2020.05.19 00:00,1732.05,1748.03,1725.6,1744.24,150585
2020.05.20 00:00,1744.07,1753.8,1742.3,1747.21,120833
2020.05.21 00:00,1747.24,1748.79,1717.1,1726.76,126972
2020.05.22 00:00,1726.7,1740.09,1724.25,1735.45,99319
2020.05.25 00:00,1732.11,1733.34,1721.55,1728.22,64718
2020.05.26 00:00,1726.06,1735.41,1708.65,1710.31,112094
2020.05.27 00:00,1710.41,1715.99,1693.62,1709.57,91160
2020.05.28 00:00,1709.27,1727.57,1707.27,1718.68,91368
2020.05.29 00:00,1719.54,1737.69,1712.75,1730.41,86023
2020.06.01 00:00,1735.4,1744.51,1726.84,1739.48,86512
2020.06.02 00:00,1737.81,1745.09,1721.3,1727.45,83030
2020.06.03 00:00,1727.04,1731.75,1689.21,1698.26,97747
2020.06.04 00:00,1699.17,1721.73,1696.99,1712.8,90044
2020.06.05 00:00,1714.75,1716.04,1670.55,1684.3,107874
2020.06.08 00:00,1680.52,1700.67,1677.22,1698.39,86257
2020.06.09 00:00,1700.09,1720.83,1692.11,1714.16,95378
2020.06.10 00:00,1715.38,1739.75,1708.2,1737.83,97211
2020.06.11 00:00,1737.94,1744.63,1721.27,1728.56,113901
2020.06.12 00:00,1729.22,1743.03,1722.14,1730.57,99214
2020.06.15 00:00,1730.76,1734.13,1704.11,1725.24,114171
2020.06.16 00:00,1725.27,1732.84,1716.41,1726.41,101815
2020.06.17 00:00,1725,1730.23,1712.6,1726.19,75069
2020.06.18 00:00,1725.79,1737.59,1717.3,1722.48,80514
2020.06.19 00:00,1722.81,1745.28,1721.17,1742.26,74320
2020.06.22 00:00,1747.68,1763.2,1742.74,1754.55,94028
2020.06.23 00:00,1753.97,1771.07,1747.29,1766.95,91526
2020.06.24 00:00,1769.08,1779.43,1760.68,1761.28,97480
2020.06.25 00:00,1759.56,1768.87,1755.26,1763.63,80846
2020.06.26 00:00,1764.15,1772.03,1747.43,1769.57,77404
2020.06.29 00:00,1770.32,1775.43,1765.61,1772.6,65040
2020.06.30 00:00,1771.9,1785.94,1764.69,1780.54,64578
2020.07.01 00:00,1781.61,1789.08,1759.22,1769.84,83087
2020.07.02 00:00,1771.4,1779.39,1757.43,1774.97,71827
2020.07.03 00:00,1776.49,1777.1,1772.66,1774.9,30087
2020.07.06 00:00,1773.37,1787,1769.86,1784.25,60393
2020.07.07 00:00,1785.22,1797.34,1773.47,1794.6,71877
2020.07.08 00:00,1795.13,1817.92,1791.52,1808.45,69808
2020.07.09 00:00,1809.37,1815.91,1795.42,1802.32,76806
2020.07.10 00:00,1802.06,1810.43,1793.98,1798.57,62639
2020.07.13 00:00,1799.11,1813.31,1797.73,1802.27,71138
2020.07.14 00:00,1802.13,1810.84,1790.63,1808.99,80509
2020.07.15 00:00,1807.97,1815.04,1802.45,1809.97,65442
2020.07.16 00:00,1810.53,1813.29,1794.9,1796.84,63581
2020.07.17 00:00,1798.09,1811.95,1795.75,1809.68,48289
2020.07.20 00:00,1808.04,1820.53,1805.62,1817.21,69408
2020.07.21 00:00,1817.92,1843.47,1815.59,1841.48,84616
2020.07.22 00:00,1840.95,1872.02,1840.74,1871.22,126022
2020.07.23 00:00,1873.97,1898.36,1863.64,1885.97,137686
2020.07.24 00:00,1889.65,1906.5,1881.29,1901.63,97339
2020.07.27 00:00,1902.64,1945.62,1902.54,1940.96,137360
2020.07.28 00:00,1943.28,1981.16,1906.63,1957.98,162655
2020.07.29 00:00,1962.16,1980.75,1941.33,1970.82,110719
2020.07.30 00:00,1971.04,1971.32,1939.44,1957.54,124775
2020.07.31 00:00,1955.5,1983.97,1955.33,1975.02,123851
2020.08.03 00:00,1983.53,1984.9,1960.39,1975.98,93017
2020.08.04 00:00,1977.36,2019.82,1966.66,2018.53,99875
2020.08.05 00:00,2021.19,2055.57,2009.39,2038.96,153351
2020.08.06 00:00,2040.28,2069.74,2034.44,2063.25,135426
2020.08.07 00:00,2066.55,2074.87,2015.37,2033.15,188063
2020.08.10 00:00,2026.31,2049.85,2019.15,2027.61,134556
2020.08.11 00:00,2026.64,2029.92,1901.25,1912.57,198468
2020.08.12 00:00,1915.36,1949.48,1862.58,1918.98,193909
2020.08.13 00:00,1919.72,1966.16,1912.66,1953.64,155604
2020.08.14 00:00,1951.38,1962.37,1932.07,1943.57,134787
2020.08.17 00:00,1944.91,1990.68,1929.4,1984.43,137410
2020.08.18 00:00,1983.17,2015.57,1975.86,2002.22,149175
2020.08.19 00:00,2005.1,2006.37,1924.51,1927.66,168877
2020.08.20 00:00,1931.52,1955.26,1924.54,1946.17,169910
2020.08.21 00:00,1948.08,1955.97,1911.26,1938.98,149830
2020.08.24 00:00,1936.69,1961.88,1923.74,1928.38,131802
2020.08.25 00:00,1930.34,1937.49,1914.19,1926.87,131524
2020.08.26 00:00,1928.28,1954.82,1902.64,1953.14,134650
2020.08.27 00:00,1951.92,1976.53,1909.79,1928.32,159239
2020.08.28 00:00,1929.98,1973.78,1923.15,1964.34,148365
2020.08.31 00:00,1969.07,1976.54,1954.23,1968.22,99691
2020.09.01 00:00,1968.35,1992.29,1963.35,1970.63,110904
2020.09.02 00:00,1968.21,1973.26,1932.39,1943.08,115889
2020.09.03 00:00,1942.01,1950.94,1921.75,1930.45,121698
2020.09.04 00:00,1931.28,1948.36,1916.27,1933.09,122132
2020.09.07 00:00,1932.07,1941.37,1924.44,1928.29,53826
2020.09.08 00:00,1929.54,1940.84,1906.54,1931.51,127513
2020.09.09 00:00,1931.59,1950.84,1919.95,1947.37,106929
2020.09.10 00:00,1946.3,1966.53,1941.35,1946.01,125077
2020.09.11 00:00,1946.32,1954.8,1937.12,1940.48,115707
2020.09.14 00:00,1937.74,1962.56,1937.36,1956.52,94840
2020.09.15 00:00,1957.68,1972.21,1948.29,1953.34,101514
2020.09.16 00:00,1954.52,1973.64,1949.87,1959.15,114101
2020.09.17 00:00,1959.47,1960.96,1932.87,1944.2,116066
2020.09.18 00:00,1944.43,1960.1,1943.93,1950.42,104181
2020.09.21 00:00,1949.75,1955.62,1882.71,1911.92,140739
2020.09.22 00:00,1914.34,1920.03,1894.64,1900.34,138128
2020.09.23 00:00,1900.62,1905.39,1855.67,1862.74,170439
